neuron,chain_idx,anchor_z
RIPL,0,1295
RIPL,1,1305
RIPL,2,1318
RIPL,5,1459
RIPL,6,1469
RIPL,9,1496
RIPL,12,1555
RIPL,14,1493
RIPL,16,1503
RIPL,18,1421
RIPL,19,1434
RIPL,21,1439
RIPL,22,1428
RIPL,23,1418
RIPL,25,1427
RIPL,27,1313
RIPL,28,1315
RIPL,33,1311
RIPL,34,1293
RIPR,1,1314
RIPR,2,1315
RIPR,4,1331
RIPR,5,1344
RIPR,6,1351
RIPR,8,1408
RIPR,9,1468
RIPR,11,1477
RIPR,12,1479
RIPR,18,1466
RIPR,19,1474
RIPR,22,1480
RIPR,23,1489
RIPR,24,1499
RIPR,25,1508
RIPR,32,1482
RIPR,34,1384
RIPR,36,1428
RIPR,37,1436
RIPR,38,1442
RIPR,39,1443
RIPR,40,1445
RIPR,41,1444
RIPR,45,1449
RIPR,47,1461
RIPR,48,1451
RIPR,49,1439
RIPR,51,1303
