neuron,chain_idx,anchor_z
AIML,0,1626
AIML,2,1608
AIML,4,1539
AIML,5,1491
AIML,6,1497
AIML,7,1481
AIML,9,1464
AIML,10,1453
AIML,13,1444
AIML,14,1441
AIML,15,1439
AIML,17,1450
AIML,19,1434
AIML,21,1429
AIML,23,1423
AIML,24,1459
AIML,25,1480
AIML,26,1471
AIML,27,1469
AIML,29,1477
AIML,30,1465
AIML,31,1468
AIML,32,1476
AIML,34,1456
AIML,35,1461
AIML,36,1452
AIML,39,1450
AIML,40,1467
AIMR,2,1603
AIMR,4,1573
AIMR,5,1544
AIMR,7,1542
AIMR,8,1530
AIMR,9,1519
AIMR,10,1514
AIMR,11,1513
AIMR,12,1509
AIMR,13,1506
AIMR,14,1504
AIMR,15,1505
AIMR,16,1501
AIMR,17,1499
AIMR,18,1494
AIMR,19,1489
AIMR,20,1491
AIMR,22,1490
AIMR,24,1486
AIMR,28,1501
AIMR,29,1488
AIMR,30,1502
AIMR,31,1495
AIMR,32,1490
AIMR,33,1488
AIMR,34,1485
AIMR,35,1480
AIMR,36,1468
AIMR,37,1471
AIMR,38,1473
AIMR,39,1462
AIMR,41,1453
AIMR,42,1451
AIMR,43,1447
AIMR,44,1455
AIMR,45,1447
AIMR,46,1453
AIMR,47,1464
AIMR,48,1484
