neuron,chain_idx,anchor_z
RMHL,0,1623
RMHL,1,1627
RMHL,2,1599
RMHL,3,1574
RMHL,5,1395
RMHL,7,1437
RMHL,8,1420
RMHL,9,1419
RMHL,11,1424
RMHL,12,1430
RMHL,13,1437
RMHL,14,1414
RMHL,15,1394
RMHL,16,1389
RMHL,17,1422
RMHL,18,1416
RMHL,19,1428
RMHL,20,1415
RMHL,21,1415
RMHL,22,1386
RMHL,24,1402
RMHL,25,1397
RMHL,26,1387
RMHL,27,1383
RMHL,28,1382
RMHL,29,1381
RMHL,30,1387
RMHL,31,1401
RMHR,0,1398
RMHR,1,1400
RMHR,2,1402
RMHR,3,1406
RMHR,4,1418
RMHR,5,1439
RMHR,7,1411
RMHR,8,1404
RMHR,9,1395
RMHR,13,1389
RMHR,14,1401
RMHR,15,1385
RMHR,17,1382
RMHR,19,1374
RMHR,20,1392
RMHR,21,1390
RMHR,22,1395
RMHR,23,1402
RMHR,24,1417
RMHR,25,1408
RMHR,26,1388
RMHR,27,1380
RMHR,28,1383
RMHR,29,1370
RMHR,31,1395
RMHR,32,1398
RMHR,33,1392
RMHR,34,1409
RMHR,35,1431
RMHR,36,1441
RMHR,39,1534
RMHR,40,1452
RMHR,41,1433
RMHR,42,1426
RMHR,43,1388
RMHR,44,1387
RMHR,45,1386
RMHR,46,1380
